TOPICO,archivo_csv,columna_Geocodigo,columna_DescFundar
PESCAS,31_consumo_per_capita_pescado_anio_pais.csv,iso3,pais
PESCAS,16_valor_cantidad_precio_exportacion_pesquero.csv,,
PESCAS,01_produccion_pesquera_captura_y_acuicola_por_pais_ultimo_anio.csv,iso3,pais_nombre
PESCAS,22_pbg_pesquero.csv,geocodigo,provincia
PESCAS,04_desembarque_especie_ultimo_anio.csv,,
PESCAS,14_evolucion_pib_pesquero.csv,,
PESCAS,07_acuicultura_produccion_por_pais_ultimo_anio.csv,iso3,pais_nombre
PESCAS,18_valor_precio_cantidad_expo_por_especie_anio.csv,,
PESCAS,11_total_desembarques.csv,,
PESCAS,09_composicion_consumo_carne_animal_por_tipo_y_pais_ultimo_anio.csv,iso3,pais
PESCAS,29_produccion_vs_consumo_pesca_arg_evo.csv,,
PESCAS,21_acuicultura_produccion_arg_evo.csv,iso3,pais_nombre
PESCAS,27_vab_expo_share.csv,,
PESCAS,03_composicion_exportaciones_pesca_producto.csv,,
PESCAS,20_captura_merluza_hubbsi_vs_cmp_anio.csv,,
PESCAS,30_share_global_expo_pesca_pais_anio.csv,iso3,pais_nombre
PESCAS,28_consumo_pescado_decil.csv,,
PESCAS,02_complejos_exportadores_ultimo_anio.csv,,
PESCAS,15_participacion_complejo_pesquero_en_expo.csv,,
PESCAS,12_capturas_grupos_anio.csv,,
PESCAS,26_produccion_pesquera_captura_y_acuicola_share_arg_evo.csv,iso3,pais_nombre
PESCAS,05_expo_pesquera_por_especie_ultimo_anio.csv,,
PESCAS,13_captura_especie_anio.csv,,
PESCAS,08_consumo_pescado_mariscos_per_capita_pais_ultimo_anio.csv,iso3,pais
PESCAS,23_share_acuicola_total_pesca_por_pais_anio.csv,iso3,pais_nombre
PESCAS,25_produccion_pesquera_captura_y_acuicola_mundial_anio.csv,,
PESCAS,06_desembarques_puertos_totales.csv,,provincia
CIETEC,07_investigadores_conicet_categoria_genero_ultimo_anio.csv,,
CIETEC,23_patentes_pais_residencia_solicitante_evo.csv,iso3,nombre_pais
CIETEC,17_i_d_y_act_pib.csv,,
CIETEC,13_patentes_residentes_sobre_pib.csv,iso3,nombre_pais
CIETEC,25_inversion_sector_destino.csv,,
CIETEC,11_pub_scopus_cada_100_investigadores.csv,iso3,pais
CIETEC,03_id_sector_ejecucion.csv,iso3,pais_nombre
CIETEC,02_id_sector_financiamiento.csv,,
CIETEC,05_investigadores_cada_mil_pea_ultimo_anio.csv,iso3,pais
CIETEC,12_solicitud_patentes_segun_residencia_solicitante_ultimo_anio_disponible.csv,iso3,pais
CIETEC,06_inversion_por_investigador.csv,iso3,pais
CIETEC,14_inversion_i_d_provincia.csv,provincia_id,provincia
CIETEC,15_inversion_10000_hab_provincia.csv,provincia_id,provincia
CIETEC,01_id_pib_pais.csv,iso3,pais_nombre
CIETEC,04_ranking_research_gov_latam_scimago.csv,iso3,nombre_pais
CIETEC,08_investigadores_por_disciplina_formacion.csv,,
CIETEC,22_publicaciones_scopus_evo.csv,iso3,pais
CIETEC,20_investigadoras_y_becarias_evo.csv,,
CIETEC,24_participacion_fem_investigadores_becarios_comparativo.csv,iso3,pais_nombre
CIETEC,18_investigacion_funcion.csv,iso3,pais
CIETEC,19_investigadores_disciplina_formacion_evo.csv,,
CIETEC,09_publicaciones_scopus_disciplina.csv,iso3,pais
CIETEC,21_id_pib_pais_evo.csv,iso3,pais_nombre
CIETEC,10_publicaciones_scopus_gasto_i_d.csv,iso3,pais
SALING,ISA_composicion-ipcf_it4.csv,,
SALING,ISA_tipo_empleo_i1.csv,,
SALING,ISA_salarios_region_i2.csv,,
SALING,ISA_salario_real_i1.csv,,
SALING,ISA_ipcf_it1.csv,,
