TOPICO,csv,problema
ESTPRO,va+AF8-sectorial+AF8-pais.csv,+ACI-dataset tiene el codigo 'TZ1' que NO esta incluido en los geocodigos y tiene la string 'TANZANIA (CONTINENTAL)' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ESTPRO,particip+AF8-va+AF8-intensivos+AF8-id+AF8-bys.csv,+ACI-dataset tiene el codigo 'EU28XEU15' que NO esta incluido en los geocodigos y tiene la string 'UNION EUROPEA (28 PAISES EXCELUYENDO EU15)' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ESTPRO,particip+AF8-va+AF8-intensivos+AF8-id+AF8-bys.csv,+ACI-dataset tiene el codigo 'NAFTA' que NO esta incluido en los geocodigos y tiene la string 'PAISES NAFTA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ESTPRO,particip+AF8-va+AF8-intensivos+AF8-id+AF8-bys.csv,+ACI-dataset tiene el codigo 'S2+AF8-S8' que NO esta incluido en los geocodigos y tiene la string 'ASIA DEL ESTE Y SUDESTE' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ESTPRO,va+AF8-sectorial+AF8-pais+AF8-bys.csv,+ACI-dataset tiene el codigo 'TZ1' que NO esta incluido en los geocodigos y tiene la string 'TANZANIA (CONTINENTAL)' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
COMEXT,exportaciones+AF8-servicios+AF8-top+AF8-20+AF8-destinos.csv,+ACI-dataset tiene el codigo 'NAN' que NO esta incluido en los geocodigos y tiene la string 'RESTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
COMEXT,composicion+AF8-exportaciones+AF8-bienes+AF8-regiones+AF8-mundo.csv,+ACI-dataset tiene el codigo 'YUG' que NO esta incluido en los geocodigos y tiene la string 'AMERICA DEL SUR' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
COMEXT,composicion+AF8-exportaciones+AF8-bienes+AF8-regiones+AF8-mundo.csv,+ACI-dataset tiene el codigo 'YUG' que NO esta incluido en los geocodigos y tiene la string 'AMERICA DEL NORTE' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
COMEXT,composicion+AF8-exportaciones+AF8-bienes+AF8-regiones+AF8-mundo.csv,+ACI-dataset tiene el codigo 'YUG' que NO esta incluido en los geocodigos y tiene la string 'OTROS' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
COMEXT,composicion+AF8-importaciones+AF8-bienes+AF8-regiones+AF8-mundo.csv,+ACI-dataset tiene el codigo 'YUG' que NO esta incluido en los geocodigos y tiene la string 'OTROS' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
COMEXT,composicion+AF8-importaciones+AF8-bienes+AF8-regiones+AF8-mundo.csv,+ACI-dataset tiene el codigo 'YUG' que NO esta incluido en los geocodigos y tiene la string 'AMERICA DEL SUR' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
COMEXT,composicion+AF8-importaciones+AF8-bienes+AF8-regiones+AF8-mundo.csv,+ACI-dataset tiene el codigo 'YUG' que NO esta incluido en los geocodigos y tiene la string 'AMERICA DEL NORTE' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
CAMCLI,emisiones+AF8-anuales+AF8-co2+AF8-region.csv,+ACI-dataset tiene el codigo 'NAN' que NO esta incluido en los geocodigos y tiene la string 'NAN' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
CAMCLI,emisiones+AF8-anuales+AF8-co2+AF8-region.csv,+ACI-dataset tiene el codigo 'OWID+AF8-WRL' que NO esta incluido en los geocodigos y tiene la string 'NAN' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,inb+AF8-pc.csv,+ACI-dataset tiene el codigo 'ZZA.VHHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MUY ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,inb+AF8-pc.csv,+ACI-dataset tiene el codigo 'ZZB.HHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,inb+AF8-pc.csv,+ACI-dataset tiene el codigo 'ZZC.MHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MEDIO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,inb+AF8-pc.csv,+ACI-dataset tiene el codigo 'ZZD.LHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO BAJO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,inb+AF8-pc.csv,+ACI-dataset tiene el codigo 'ZZE.AS' que NO esta incluido en los geocodigos y tiene la string 'ESTADOS ARABES' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,inb+AF8-pc.csv,+ACI-dataset tiene el codigo 'ZZI.SA' que NO esta incluido en los geocodigos y tiene la string 'ASIA MERIDIONAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,inb+AF8-pc.csv,+ACI-dataset tiene el codigo 'ZZJ.SSA' que NO esta incluido en los geocodigos y tiene la string 'AFRICA SUBSAHARIANA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZA.VHHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MUY ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZB.HHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZC.MHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MEDIO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZD.LHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO BAJO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZE.AS' que NO esta incluido en los geocodigos y tiene la string 'ESTADOS ARABES' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZI.SA' que NO esta incluido en los geocodigos y tiene la string 'ASIA MERIDIONAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZJ.SSA' que NO esta incluido en los geocodigos y tiene la string 'AFRICA SUBSAHARIANA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,idh+AF8-dif+AF8-idhp.csv,+ACI-dataset tiene el codigo 'ZZA.VHHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MUY ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,idh+AF8-dif+AF8-idhp.csv,+ACI-dataset tiene el codigo 'ZZB.HHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,idh+AF8-dif+AF8-idhp.csv,+ACI-dataset tiene el codigo 'ZZC.MHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MEDIO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,idh+AF8-dif+AF8-idhp.csv,+ACI-dataset tiene el codigo 'ZZD.LHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO BAJO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,idh+AF8-dif+AF8-idhp.csv,+ACI-dataset tiene el codigo 'ZZE.AS' que NO esta incluido en los geocodigos y tiene la string 'ESTADOS ARABES' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,idh+AF8-dif+AF8-idhp.csv,+ACI-dataset tiene el codigo 'ZZI.SA' que NO esta incluido en los geocodigos y tiene la string 'ASIA MERIDIONAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,idh+AF8-dif+AF8-idhp.csv,+ACI-dataset tiene el codigo 'ZZJ.SSA' que NO esta incluido en los geocodigos y tiene la string 'AFRICA SUBSAHARIANA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-vida.csv,+ACI-dataset tiene el codigo 'ZZA.VHHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MUY ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-vida.csv,+ACI-dataset tiene el codigo 'ZZB.HHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-vida.csv,+ACI-dataset tiene el codigo 'ZZC.MHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MEDIO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
