anio,iso3,iso3_desc_fundar,es_agregacion,letra,gran_sector,id_tipo_sector,tipo_sector,particip_va_pib,geocodigoFundar,geonombreFundar
1970,AFG,Afganistán,0,AB,Agro y pesca,1,Bienes,0.502421541997353,AFG,Afganistán
1970,AFG,Afganistán,0,F,Construcción,1,Bienes,0.027025809234403,AFG,Afganistán
1970,AFG,Afganistán,0,D,Industria manufacturera,1,Bienes,0.213778063850292,AFG,Afganistán
1970,AFG,Afganistán,0,CE,Energía y minería,1,Bienes,0.0037794736701996,AFG,Afganistán
1970,AFG,Afganistán,0,JKLMNOP,Otros servicios,2,Servicios,0.0737806979707679,AFG,Afganistán
1970,AFG,Afganistán,0,I,Transporte y comunicaciones,2,Servicios,0.0484660632078365,AFG,Afganistán
1970,AFG,Afganistán,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.130748350069147,AFG,Afganistán
1970,ALB,Albania,0,AB,Agro y pesca,1,Bienes,0.368656318911903,ALB,Albania
1970,ALB,Albania,0,F,Construcción,1,Bienes,0.102033337369023,ALB,Albania
1970,ALB,Albania,0,D,Industria manufacturera,1,Bienes,0.168236020014338,ALB,Albania
1970,ALB,Albania,0,CE,Energía y minería,1,Bienes,0.170525195080611,ALB,Albania
1970,ALB,Albania,0,JKLMNOP,Otros servicios,2,Servicios,0.0805491941992403,ALB,Albania
1970,ALB,Albania,0,I,Transporte y comunicaciones,2,Servicios,0.019498535537536,ALB,Albania
1970,ALB,Albania,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.0905013988873488,ALB,Albania
1970,DZA,Argelia,0,AB,Agro y pesca,1,Bienes,0.128443900575641,DZA,Argelia
1970,DZA,Argelia,0,F,Construcción,1,Bienes,0.06821364517485,DZA,Argelia
1970,DZA,Argelia,0,D,Industria manufacturera,1,Bienes,0.114356075858219,DZA,Argelia
1970,DZA,Argelia,0,CE,Energía y minería,1,Bienes,0.149807318045804,DZA,Argelia
1970,DZA,Argelia,0,JKLMNOP,Otros servicios,2,Servicios,0.317336139805816,DZA,Argelia
1970,DZA,Argelia,0,I,Transporte y comunicaciones,2,Servicios,0.0479775046174715,DZA,Argelia
1970,DZA,Argelia,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.173865415922198,DZA,Argelia
1970,AND,Andorra,0,AB,Agro y pesca,1,Bienes,0.0047630318952859,AND,Andorra
1970,AND,Andorra,0,F,Construcción,1,Bienes,0.117240528542303,AND,Andorra
1970,AND,Andorra,0,D,Industria manufacturera,1,Bienes,0.0438553523108388,AND,Andorra
1970,AND,Andorra,0,CE,Energía y minería,1,Bienes,0.0223131983257225,AND,Andorra
1970,AND,Andorra,0,JKLMNOP,Otros servicios,2,Servicios,0.369353553789766,AND,Andorra
1970,AND,Andorra,0,I,Transporte y comunicaciones,2,Servicios,0.0369458269172725,AND,Andorra
1970,AND,Andorra,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.405528508218811,AND,Andorra
1970,AGO,Angola,0,AB,Agro y pesca,1,Bienes,0.14018691588785,AGO,Angola
1970,AGO,Angola,0,F,Construcción,1,Bienes,0.0467289719626168,AGO,Angola
1970,AGO,Angola,0,D,Industria manufacturera,1,Bienes,0.0934579439252336,AGO,Angola
1970,AGO,Angola,0,CE,Energía y minería,1,Bienes,0.261682242990654,AGO,Angola
1970,AGO,Angola,0,JKLMNOP,Otros servicios,2,Servicios,0.280373831775701,AGO,Angola
1970,AGO,Angola,0,I,Transporte y comunicaciones,2,Servicios,0.0467289719626168,AGO,Angola
1970,AGO,Angola,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.130841121495327,AGO,Angola
1970,ATG,Antigua y Barbuda,0,AB,Agro y pesca,1,Bienes,0.0448448036836987,ATG,Antigua y Barbuda
1970,ATG,Antigua y Barbuda,0,F,Construcción,1,Bienes,0.0597466744080717,ATG,Antigua y Barbuda
1970,ATG,Antigua y Barbuda,0,D,Industria manufacturera,1,Bienes,0.0722994419475206,ATG,Antigua y Barbuda
1970,ATG,Antigua y Barbuda,0,CE,Energía y minería,1,Bienes,0.0190163500900448,ATG,Antigua y Barbuda
1970,ATG,Antigua y Barbuda,0,JKLMNOP,Otros servicios,2,Servicios,0.401034794903889,ATG,Antigua y Barbuda
1970,ATG,Antigua y Barbuda,0,I,Transporte y comunicaciones,2,Servicios,0.146722507347766,ATG,Antigua y Barbuda
1970,ATG,Antigua y Barbuda,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.25633542761901,ATG,Antigua y Barbuda
1970,AZE,Azerbaiyán,0,AB,Agro y pesca,1,Bienes,,AZE,Azerbaiyán
1970,AZE,Azerbaiyán,0,F,Construcción,1,Bienes,,AZE,Azerbaiyán
1970,AZE,Azerbaiyán,0,D,Industria manufacturera,1,Bienes,,AZE,Azerbaiyán
1970,AZE,Azerbaiyán,0,CE,Energía y minería,1,Bienes,,AZE,Azerbaiyán
1970,AZE,Azerbaiyán,0,JKLMNOP,Otros servicios,2,Servicios,,AZE,Azerbaiyán
1970,AZE,Azerbaiyán,0,I,Transporte y comunicaciones,2,Servicios,,AZE,Azerbaiyán
1970,AZE,Azerbaiyán,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,,AZE,Azerbaiyán
1970,ARG,Argentina,0,AB,Agro y pesca,1,Bienes,0.0866813262622343,ARG,Argentina
1970,ARG,Argentina,0,F,Construcción,1,Bienes,0.0626309662398137,ARG,Argentina
1970,ARG,Argentina,0,D,Industria manufacturera,1,Bienes,0.33489414909671,ARG,Argentina
1970,ARG,Argentina,0,CE,Energía y minería,1,Bienes,0.0329151036950804,ARG,Argentina
1970,ARG,Argentina,0,JKLMNOP,Otros servicios,2,Servicios,0.257370758418488,ARG,Argentina
1970,ARG,Argentina,0,I,Transporte y comunicaciones,2,Servicios,0.0455396024662614,ARG,Argentina
1970,ARG,Argentina,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.179968093821412,ARG,Argentina
1970,AUS,Australia,0,AB,Agro y pesca,1,Bienes,0.0649953606061633,AUS,Australia
1970,AUS,Australia,0,F,Construcción,1,Bienes,0.0879462752080297,AUS,Australia
1970,AUS,Australia,0,D,Industria manufacturera,1,Bienes,0.236549448926766,AUS,Australia
1970,AUS,Australia,0,CE,Energía y minería,1,Bienes,0.0700157870818276,AUS,Australia
1970,AUS,Australia,0,JKLMNOP,Otros servicios,2,Servicios,0.339409685599516,AUS,Australia
1970,AUS,Australia,0,I,Transporte y comunicaciones,2,Servicios,0.0865863410499947,AUS,Australia
1970,AUS,Australia,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.114497101527703,AUS,Australia
1970,AUT,Austria,0,AB,Agro y pesca,1,Bienes,0.0740151360936396,AUT,Austria
1970,AUT,Austria,0,F,Construcción,1,Bienes,0.088112941524858,AUT,Austria
1970,AUT,Austria,0,D,Industria manufacturera,1,Bienes,0.304091413699599,AUT,Austria
1970,AUT,Austria,0,CE,Energía y minería,1,Bienes,0.042344235652835,AUT,Austria
1970,AUT,Austria,0,JKLMNOP,Otros servicios,2,Servicios,0.248197255700066,AUT,Austria
1970,AUT,Austria,0,I,Transporte y comunicaciones,2,Servicios,0.0865952432324706,AUT,Austria
1970,AUT,Austria,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.156643774096532,AUT,Austria
1970,BHS,Bahamas,0,AB,Agro y pesca,1,Bienes,0.0224196245326795,BHS,Bahamas
1970,BHS,Bahamas,0,F,Construcción,1,Bienes,0.0656910363590456,BHS,Bahamas
1970,BHS,Bahamas,0,D,Industria manufacturera,1,Bienes,0.0309457409786271,BHS,Bahamas
1970,BHS,Bahamas,0,CE,Energía y minería,1,Bienes,0.0419011791957305,BHS,Bahamas
1970,BHS,Bahamas,0,JKLMNOP,Otros servicios,2,Servicios,0.472833829336469,BHS,Bahamas
1970,BHS,Bahamas,0,I,Transporte y comunicaciones,2,Servicios,0.0651348062582828,BHS,Bahamas
1970,BHS,Bahamas,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.301073783339166,BHS,Bahamas
1970,BHR,Bahrein,0,AB,Agro y pesca,1,Bienes,0.0090451301642925,BHR,Bahrein
1970,BHR,Bahrein,0,F,Construcción,1,Bienes,0.108350052103206,BHR,Bahrein
1970,BHR,Bahrein,0,D,Industria manufacturera,1,Bienes,0.110420163021338,BHR,Bahrein
1970,BHR,Bahrein,0,CE,Energía y minería,1,Bienes,0.284511260620856,BHR,Bahrein
1970,BHR,Bahrein,0,JKLMNOP,Otros servicios,2,Servicios,0.311403629352474,BHR,Bahrein
1970,BHR,Bahrein,0,I,Transporte y comunicaciones,2,Servicios,0.0514398453245313,BHR,Bahrein
1970,BHR,Bahrein,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.124829919413303,BHR,Bahrein
1970,BGD,Bangladesh,0,AB,Agro y pesca,1,Bienes,0.418008190826702,BGD,Bangladesh
1970,BGD,Bangladesh,0,F,Construcción,1,Bienes,0.0380063797807304,BGD,Bangladesh
1970,BGD,Bangladesh,0,D,Industria manufacturera,1,Bienes,0.0844268777356103,BGD,Bangladesh
1970,BGD,Bangladesh,0,CE,Energía y minería,1,Bienes,0.0032182458439139,BGD,Bangladesh
1970,BGD,Bangladesh,0,JKLMNOP,Otros servicios,2,Servicios,0.197000588479869,BGD,Bangladesh
1970,BGD,Bangladesh,0,I,Transporte y comunicaciones,2,Servicios,0.0976382889669459,BGD,Bangladesh
1970,BGD,Bangladesh,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.161701428366228,BGD,Bangladesh
1970,ARM,Armenia,0,AB,Agro y pesca,1,Bienes,,ARM,Armenia
1970,ARM,Armenia,0,F,Construcción,1,Bienes,,ARM,Armenia
1970,ARM,Armenia,0,D,Industria manufacturera,1,Bienes,,ARM,Armenia
1970,ARM,Armenia,0,CE,Energía y minería,1,Bienes,,ARM,Armenia
1970,ARM,Armenia,0,JKLMNOP,Otros servicios,2,Servicios,,ARM,Armenia
1970,ARM,Armenia,0,I,Transporte y comunicaciones,2,Servicios,,ARM,Armenia
1970,ARM,Armenia,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,,ARM,Armenia
1970,BRB,Barbados,0,AB,Agro y pesca,1,Bienes,0.0738932693356041,BRB,Barbados
1970,BRB,Barbados,0,F,Construcción,1,Bienes,0.0914528599978678,BRB,Barbados
1970,BRB,Barbados,0,D,Industria manufacturera,1,Bienes,0.108685271990321,BRB,Barbados
1970,BRB,Barbados,0,CE,Energía y minería,1,Bienes,0.0147922802897665,BRB,Barbados
1970,BRB,Barbados,0,JKLMNOP,Otros servicios,2,Servicios,0.393908562243002,BRB,Barbados
1970,BRB,Barbados,0,I,Transporte y comunicaciones,2,Servicios,0.0577433281215619,BRB,Barbados
1970,BRB,Barbados,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.259524428021877,BRB,Barbados
1970,BEL,Bélgica,0,AB,Agro y pesca,1,Bienes,0.0425820154967043,BEL,Bélgica
1970,BEL,Bélgica,0,F,Construcción,1,Bienes,0.0757878958192992,BEL,Bélgica
1970,BEL,Bélgica,0,D,Industria manufacturera,1,Bienes,0.346774369781951,BEL,Bélgica
1970,BEL,Bélgica,0,CE,Energía y minería,1,Bienes,0.0192472097635573,BEL,Bélgica
1970,BEL,Bélgica,0,JKLMNOP,Otros servicios,2,Servicios,0.302720118518982,BEL,Bélgica
1970,BEL,Bélgica,0,I,Transporte y comunicaciones,2,Servicios,0.0854441252486058,BEL,Bélgica
1970,BEL,Bélgica,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.1274442653709,BEL,Bélgica
1970,BMU,Bermuda,0,AB,Agro y pesca,1,Bienes,0.0077377813305032,BMU,Bermuda
1970,BMU,Bermuda,0,F,Construcción,1,Bienes,0.0559887392134209,BMU,Bermuda
1970,BMU,Bermuda,0,D,Industria manufacturera,1,Bienes,0.0240635502792266,BMU,Bermuda
1970,BMU,Bermuda,0,CE,Energía y minería,1,Bienes,0.0235175391553972,BMU,Bermuda
1970,BMU,Bermuda,0,JKLMNOP,Otros servicios,2,Servicios,0.640287087148515,BMU,Bermuda
1970,BMU,Bermuda,0,I,Transporte y comunicaciones,2,Servicios,0.0719383247618025,BMU,Bermuda
1970,BMU,Bermuda,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.176466978111135,BMU,Bermuda
1970,BTN,Bhután,0,AB,Agro y pesca,1,Bienes,0.43241959671871,BTN,Bhután
1970,BTN,Bhután,0,F,Construcción,1,Bienes,0.132093112641089,BTN,Bhután
1970,BTN,Bhután,0,D,Industria manufacturera,1,Bienes,0.0421954593261299,BTN,Bhután
1970,BTN,Bhután,0,CE,Energía y minería,1,Bienes,0.0098263849090186,BTN,Bhután
1970,BTN,Bhután,0,JKLMNOP,Otros servicios,2,Servicios,0.254060148986723,BTN,Bhután
1970,BTN,Bhután,0,I,Transporte y comunicaciones,2,Servicios,0.0473245782636485,BTN,Bhután
1970,BTN,Bhután,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.0820807191546813,BTN,Bhután
1970,BOL,Bolivia,0,AB,Agro y pesca,1,Bienes,0.17650692789692,BOL,Bolivia
1970,BOL,Bolivia,0,F,Construcción,1,Bienes,0.08825346394846,BOL,Bolivia
1970,BOL,Bolivia,0,D,Industria manufacturera,1,Bienes,0.17650692789692,BOL,Bolivia
1970,BOL,Bolivia,0,CE,Energía y minería,1,Bienes,0.0998146677257083,BOL,Bolivia
1970,BOL,Bolivia,0,JKLMNOP,Otros servicios,2,Servicios,0.282411084635072,BOL,Bolivia
1970,BOL,Bolivia,0,I,Transporte y comunicaciones,2,Servicios,0.08825346394846,BOL,Bolivia
1970,BOL,Bolivia,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.08825346394846,BOL,Bolivia
1970,BIH,Bosnia y Herzegovina,0,AB,Agro y pesca,1,Bienes,,BIH,Bosnia y Herzegovina
1970,BIH,Bosnia y Herzegovina,0,F,Construcción,1,Bienes,,BIH,Bosnia y Herzegovina
1970,BIH,Bosnia y Herzegovina,0,D,Industria manufacturera,1,Bienes,,BIH,Bosnia y Herzegovina
1970,BIH,Bosnia y Herzegovina,0,CE,Energía y minería,1,Bienes,,BIH,Bosnia y Herzegovina
1970,BIH,Bosnia y Herzegovina,0,JKLMNOP,Otros servicios,2,Servicios,,BIH,Bosnia y Herzegovina
1970,BIH,Bosnia y Herzegovina,0,I,Transporte y comunicaciones,2,Servicios,,BIH,Bosnia y Herzegovina
1970,BIH,Bosnia y Herzegovina,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,,BIH,Bosnia y Herzegovina
1970,BWA,Botswana,0,AB,Agro y pesca,1,Bienes,0.363308280729102,BWA,Botswana
1970,BWA,Botswana,0,F,Construcción,1,Bienes,0.0816360498922005,BWA,Botswana
1970,BWA,Botswana,0,D,Industria manufacturera,1,Bienes,0.0593354347639453,BWA,Botswana
1970,BWA,Botswana,0,CE,Energía y minería,1,Bienes,0.0968507596152224,BWA,Botswana
1970,BWA,Botswana,0,JKLMNOP,Otros servicios,2,Servicios,0.26219976470787,BWA,Botswana
1970,BWA,Botswana,0,I,Transporte y comunicaciones,2,Servicios,0.0442417212649482,BWA,Botswana
1970,BWA,Botswana,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.0924279890267115,BWA,Botswana
1970,BRA,Brasil,0,AB,Agro y pesca,1,Bienes,0.112903225806452,BRA,Brasil
1970,BRA,Brasil,0,F,Construcción,1,Bienes,0.0483870967741935,BRA,Brasil
1970,BRA,Brasil,0,D,Industria manufacturera,1,Bienes,0.274193548387097,BRA,Brasil
1970,BRA,Brasil,0,CE,Energía y minería,1,Bienes,0.0161290322580646,BRA,Brasil
1970,BRA,Brasil,0,JKLMNOP,Otros servicios,2,Servicios,0.338709677419355,BRA,Brasil
1970,BRA,Brasil,0,I,Transporte y comunicaciones,2,Servicios,0.0483870967741935,BRA,Brasil
1970,BRA,Brasil,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.161290322580645,BRA,Brasil
1970,BLZ,Belice,0,AB,Agro y pesca,1,Bienes,0.238034171221091,BLZ,Belice
1970,BLZ,Belice,0,F,Construcción,1,Bienes,0.0454069119814947,BLZ,Belice
1970,BLZ,Belice,0,D,Industria manufacturera,1,Bienes,0.0868032204088791,BLZ,Belice
1970,BLZ,Belice,0,CE,Energía y minería,1,Bienes,0.0132101466106073,BLZ,Belice
1970,BLZ,Belice,0,JKLMNOP,Otros servicios,2,Servicios,0.336697658875559,BLZ,Belice
1970,BLZ,Belice,0,I,Transporte y comunicaciones,2,Servicios,0.0630211834078316,BLZ,Belice
1970,BLZ,Belice,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.216826707494537,BLZ,Belice
1970,SLB,Islas Salomón,0,AB,Agro y pesca,1,Bienes,0.51595052972429,SLB,Islas Salomón
1970,SLB,Islas Salomón,0,F,Construcción,1,Bienes,0.0416544993671964,SLB,Islas Salomón
1970,SLB,Islas Salomón,0,D,Industria manufacturera,1,Bienes,0.038120584948092,SLB,Islas Salomón
1970,SLB,Islas Salomón,0,CE,Energía y minería,1,Bienes,0.004371877829336,SLB,Islas Salomón
1970,SLB,Islas Salomón,0,JKLMNOP,Otros servicios,2,Servicios,0.245465804803065,SLB,Islas Salomón
1970,SLB,Islas Salomón,0,I,Transporte y comunicaciones,2,Servicios,0.0527073756543614,SLB,Islas Salomón
1970,SLB,Islas Salomón,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.10172932767366,SLB,Islas Salomón
1970,VGB,Islas Vírgenes Británicas,0,AB,Agro y pesca,1,Bienes,0.0110502136068795,VGB,Islas Vírgenes Británicas
1970,VGB,Islas Vírgenes Británicas,0,F,Construcción,1,Bienes,0.0526748830510605,VGB,Islas Vírgenes Británicas
1970,VGB,Islas Vírgenes Británicas,0,D,Industria manufacturera,1,Bienes,0.0228239557303326,VGB,Islas Vírgenes Británicas
1970,VGB,Islas Vírgenes Británicas,0,CE,Energía y minería,1,Bienes,0.0096420844149685,VGB,Islas Vírgenes Británicas
1970,VGB,Islas Vírgenes Británicas,0,JKLMNOP,Otros servicios,2,Servicios,0.558574821957508,VGB,Islas Vírgenes Británicas
1970,VGB,Islas Vírgenes Británicas,0,I,Transporte y comunicaciones,2,Servicios,0.0708115076433107,VGB,Islas Vírgenes Británicas
1970,VGB,Islas Vírgenes Británicas,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.27442253359594,VGB,Islas Vírgenes Británicas
1970,BRN,Brunei Darussalam,0,AB,Agro y pesca,1,Bienes,0.0041146901675419,BRN,Brunei
1970,BRN,Brunei Darussalam,0,F,Construcción,1,Bienes,0.0059326140895461,BRN,Brunei
1970,BRN,Brunei Darussalam,0,D,Industria manufacturera,1,Bienes,0.171954053613833,BRN,Brunei
1970,BRN,Brunei Darussalam,0,CE,Energía y minería,1,Bienes,0.746160549728073,BRN,Brunei
1970,BRN,Brunei Darussalam,0,JKLMNOP,Otros servicios,2,Servicios,0.0578278983288618,BRN,Brunei
1970,BRN,Brunei Darussalam,0,I,Transporte y comunicaciones,2,Servicios,0.0049353058600058,BRN,Brunei
1970,BRN,Brunei Darussalam,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.0090748882121386,BRN,Brunei
1970,BGR,Bulgaria,0,AB,Agro y pesca,1,Bienes,0.167351064146517,BGR,Bulgaria
1970,BGR,Bulgaria,0,F,Construcción,1,Bienes,0.0747807569856693,BGR,Bulgaria
1970,BGR,Bulgaria,0,D,Industria manufacturera,1,Bienes,0.252661517918387,BGR,Bulgaria
1970,BGR,Bulgaria,0,CE,Energía y minería,1,Bienes,0.126768716451908,BGR,Bulgaria
1970,BGR,Bulgaria,0,JKLMNOP,Otros servicios,2,Servicios,0.161418660305874,BGR,Bulgaria
1970,BGR,Bulgaria,0,I,Transporte y comunicaciones,2,Servicios,0.112885386349594,BGR,Bulgaria
1970,BGR,Bulgaria,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.104133897842051,BGR,Bulgaria
1970,MMR,Myanmar,0,AB,Agro y pesca,1,Bienes,0.415096197559379,MMR,Myanmar
1970,MMR,Myanmar,0,F,Construcción,1,Bienes,0.0168198111857889,MMR,Myanmar
1970,MMR,Myanmar,0,D,Industria manufacturera,1,Bienes,0.101581353895779,MMR,Myanmar
1970,MMR,Myanmar,0,CE,Energía y minería,1,Bienes,0.0144737347974455,MMR,Myanmar
1970,MMR,Myanmar,0,JKLMNOP,Otros servicios,2,Servicios,0.138986166910299,MMR,Myanmar
1970,MMR,Myanmar,0,I,Transporte y comunicaciones,2,Servicios,0.0544514692979388,MMR,Myanmar
1970,MMR,Myanmar,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.25859126635337,MMR,Myanmar
1970,BDI,Burundi,0,AB,Agro y pesca,1,Bienes,0.682416018267504,BDI,Burundi
1970,BDI,Burundi,0,F,Construcción,1,Bienes,0.0226080483646258,BDI,Burundi
1970,BDI,Burundi,0,D,Industria manufacturera,1,Bienes,0.0676732571181402,BDI,Burundi
1970,BDI,Burundi,0,CE,Energía y minería,1,Bienes,0.0032139138832026,BDI,Burundi
1970,BDI,Burundi,0,JKLMNOP,Otros servicios,2,Servicios,0.132539997887568,BDI,Burundi
