TOPICO,csv,problema
SALING,ISA_tipo_empleo_i3.csv,"Para la string 'REP. DOMINICANA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
INFDES,tasa_informalidad_provincia_definicion_productiva_legal.csv,"Para la string 'CABA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
INFDES,tasa_informalidad_provincia_definicion_productiva_legal.csv,"Para la string 'TOTAL PAIS' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
ESTPRO,densidad_empresarial_depto.csv,"Para la string 'CIUDAD DE BUENOS AIRES' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
ESTPRO,densidad_empresarial_depto.csv,"Para la string 'NAN' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
ESTPRO,densidad_nbi.csv,"Para la string 'CIUDAD DE BUENOS AIRES' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
ESTPRO,densidad_nbi.csv,"Para la string 'NAN' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
ACECON,9_pibpc_ppa_log_1950.csv,"Para la string 'TIGRES ASIATICOS' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
SEBACO,06_empleo_sbc_provincia.csv,"Para la string 'CABA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
SEBACO,06_empleo_sbc_provincia.csv,"Para la string 'GBA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MINERI,exportaciones_mineras_provinciales.csv,"Para la string 'SAN_JUAN' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MINERI,exportaciones_mineras_provinciales.csv,"Para la string 'SANTA_CRUZ' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
AGROPE,PBG_participacion_agro_provincia_evolucion.csv,"Para la string 'CIUDAD DE BUENOS AIRES' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
AGROPE,stock_bovina_regiones_argentina.csv,"Para la string 'NEA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
AGROPE,stock_bovina_regiones_argentina.csv,"Para la string 'NOA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_anio_provincia_sexo.csv,"Para la string 'CABA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_anio_provincia_sexo.csv,"Para la string 'TODAS' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_menores_provincia.csv,"Para la string 'CIUDAD DE BUENOS AIRES' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_menores_provincia.csv,"Para la string 'TOTAL' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_anio_provincia.csv,"Para la string 'CABA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_anio_provincia.csv,"Para la string 'TOTAL PAIS' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,establecimientos_tasa_empleo_provincia.csv,"Para la string 'CABA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,lavarropas_tasa_empleo_fem_provincia.csv,"Para la string 'CABA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_mujer_salario_provincia_anio.csv,"Para la string 'CIUDAD DE BUENOS AIRES' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_provincia_nivel_educativo.csv,"Para la string 'CIUDAD DE BUENOS AIRES' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_por_franja_etaria_anio_provincia.csv,"Para la string 'CABA' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
MERTRA,tasa_empleo_por_franja_etaria_anio_provincia.csv,"Para la string 'TOTAL' se debería generar un codigo nuevo. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
